School,EFG%,opp_EFG%,ORB%,DRB%,FT%,opp_FT%,TOV%,opp_TOV%,F1,wins
Montana 2010,0.548,0.472,0.306,0.706,0.267,0.241,0.17,0.174,513,0
St Louis 2012,0.515,0.454,0.316,0.677,0.259,0.266,0.154,0.205,95,1
Sam Houston St 2010,0.536,0.486,0.349,0.71,0.26,0.274,0.162,0.191,526,0
Miami FL 2013,0.519,0.457,0.306,0.693,0.236,0.184,0.143,0.16,122,2
Tulsa 2016,0.503,0.482,0.278,0.697,0.268,0.259,0.137,0.177,404,0
Arizona St 2014,0.524,0.463,0.245,0.698,0.295,0.242,0.146,0.147,411,0
Kansas 2012,0.523,0.434,0.349,0.687,0.275,0.239,0.166,0.176,79,5
Texas 2015,0.491,0.421,0.379,0.714,0.265,0.231,0.169,0.121,322,0
Marquette 2011,0.51,0.499,0.361,0.668,0.308,0.19,0.154,0.176,48,2
Oklahoma 2013,0.478,0.474,0.332,0.655,0.268,0.218,0.15,0.17,273,0
Michigan St 2010,0.516,0.466,0.398,0.716,0.253,0.223,0.176,0.165,13,4
BYU 2012,0.521,0.471,0.306,0.708,0.257,0.22,0.162,0.192,69,1
Michigan St 2013,0.505,0.441,0.364,0.699,0.264,0.213,0.18,0.168,124,2
Western Kentucky 2012,0.444,0.474,0.341,0.647,0.276,0.279,0.189,0.183,495,0
Northern Iowa 2015,0.559,0.456,0.27,0.731,0.292,0.192,0.16,0.168,192,1
Indiana 2016,0.587,0.498,0.37,0.711,0.248,0.206,0.169,0.166,216,2
Albany (NY) 2013,0.496,0.483,0.317,0.676,0.295,0.182,0.185,0.174,244,0
Oregon 2016,0.525,0.485,0.342,0.697,0.291,0.218,0.141,0.176,229,3
New Mexico 2010,0.506,0.495,0.354,0.729,0.301,0.235,0.138,0.176,16,1
Ohio St 2014,0.503,0.452,0.296,0.704,0.291,0.212,0.151,0.192,436,0
Western Kentucky 2013,0.485,0.475,0.351,0.671,0.26,0.265,0.19,0.182,285,0
Penn St 2011,0.501,0.507,0.322,0.698,0.225,0.203,0.153,0.156,355,0
West Virginia 2011,0.485,0.459,0.402,0.645,0.291,0.251,0.156,0.157,66,1
Cincinnati 2011,0.494,0.458,0.381,0.69,0.256,0.249,0.15,0.192,36,1
Minnesota 2013,0.493,0.456,0.436,0.631,0.285,0.255,0.177,0.172,125,1
Louisiana St 2015,0.503,0.447,0.339,0.671,0.229,0.195,0.175,0.163,305,0
Baylor 2012,0.528,0.473,0.384,0.654,0.266,0.229,0.174,0.181,68,3
Kansas 2010,0.551,0.432,0.384,0.683,0.288,0.215,0.159,0.171,9,1
Arizona 2013,0.525,0.466,0.35,0.708,0.28,0.234,0.169,0.175,103,2
Providence 2016,0.48,0.493,0.303,0.699,0.27,0.201,0.14,0.18,230,1
Michigan 2016,0.546,0.511,0.247,0.737,0.205,0.194,0.132,0.162,223,1
Kentucky 2012,0.538,0.42,0.371,0.666,0.302,0.179,0.143,0.149,81,6
Michigan 2013,0.549,0.478,0.327,0.677,0.199,0.154,0.126,0.161,123,5
Wyoming 2015,0.526,0.465,0.223,0.736,0.277,0.183,0.171,0.16,327,0
Virginia Commonwealth 2015,0.487,0.495,0.318,0.694,0.245,0.262,0.133,0.207,324,0
East Tennessee St 2010,0.477,0.486,0.35,0.662,0.271,0.261,0.182,0.206,502,0
NC St 2014,0.5,0.475,0.342,0.643,0.243,0.303,0.135,0.149,157,1
Iona 2016,0.538,0.488,0.292,0.69,0.23,0.254,0.155,0.166,385,0
Notre Dame 2011,0.535,0.467,0.334,0.705,0.327,0.182,0.142,0.136,52,1
Temple 2012,0.531,0.483,0.315,0.653,0.246,0.233,0.16,0.168,490,0
San Diego St 2010,0.522,0.465,0.402,0.684,0.249,0.209,0.173,0.178,527,0
Cincinnati 2013,0.462,0.433,0.387,0.666,0.229,0.218,0.16,0.176,249,0
Belmont 2011,0.542,0.461,0.374,0.679,0.281,0.313,0.167,0.239,332,0
Harvard 2015,0.481,0.458,0.327,0.717,0.283,0.221,0.161,0.182,301,0
Old Dominion 2010,0.488,0.455,0.424,0.698,0.197,0.198,0.164,0.194,20,1
Nevada-Las Vegas 2010,0.52,0.455,0.293,0.693,0.234,0.337,0.15,0.203,516,0
Providence 2015,0.484,0.482,0.351,0.71,0.287,0.271,0.155,0.173,315,0
Austin Peay 2016,0.516,0.531,0.33,0.705,0.306,0.218,0.169,0.163,371,0
Xavier 2014,0.517,0.494,0.341,0.713,0.286,0.264,0.161,0.149,451,0
Ohio St 2015,0.542,0.464,0.335,0.68,0.236,0.196,0.147,0.186,194,1
Memphis 2012,0.54,0.434,0.313,0.642,0.296,0.266,0.165,0.178,470,0
Albany (NY) 2015,0.499,0.496,0.326,0.739,0.296,0.212,0.163,0.178,289,0
North Dakota St 2015,0.501,0.483,0.256,0.769,0.248,0.225,0.141,0.151,310,0
VCU 2011,0.511,0.492,0.309,0.635,0.264,0.231,0.149,0.188,64,5
Pittsburgh 2013,0.517,0.446,0.404,0.67,0.251,0.263,0.15,0.193,275,0
Kentucky 2015,0.515,0.396,0.395,0.682,0.319,0.209,0.137,0.181,185,4
Oregon 2015,0.524,0.477,0.308,0.689,0.217,0.241,0.149,0.144,196,1
Arizona 2015,0.535,0.451,0.345,0.776,0.338,0.26,0.144,0.187,173,3
Harvard 2012,0.529,0.456,0.303,0.708,0.307,0.197,0.177,0.181,462,0
Clemson 2010,0.511,0.464,0.365,0.665,0.23,0.24,0.181,0.212,501,0
Oakland 2011,0.559,0.496,0.372,0.68,0.281,0.221,0.159,0.144,352,0
Michigan St 2011,0.489,0.481,0.345,0.71,0.256,0.255,0.171,0.159,346,0
Wofford 2014,0.502,0.489,0.317,0.721,0.218,0.272,0.145,0.18,450,0
North Carolina-Asheville 2012,0.541,0.504,0.344,0.633,0.358,0.237,0.165,0.193,480,0
Kansas 2014,0.542,0.471,0.373,0.712,0.343,0.309,0.165,0.144,149,1
West Virginia 2010,0.489,0.469,0.42,0.679,0.279,0.266,0.149,0.178,30,4
Georgia 2015,0.485,0.444,0.322,0.715,0.331,0.24,0.167,0.144,300,0
St Joseph's 2016,0.512,0.481,0.279,0.744,0.268,0.175,0.124,0.143,232,1
Oklahoma 2014,0.517,0.497,0.324,0.696,0.295,0.275,0.136,0.156,438,0
Illinois 2011,0.529,0.457,0.317,0.685,0.206,0.237,0.168,0.158,44,1
Virginia 2016,0.548,0.484,0.298,0.751,0.241,0.234,0.133,0.168,238,3
Georgetown 2015,0.513,0.471,0.343,0.69,0.309,0.313,0.166,0.176,179,1
Wisconsin 2010,0.514,0.468,0.302,0.737,0.238,0.248,0.126,0.177,31,1
VCU 2013,0.513,0.499,0.36,0.628,0.209,0.276,0.138,0.248,136,1
Gonzaga 2012,0.535,0.466,0.346,0.689,0.33,0.185,0.171,0.17,76,1
Kansas 2013,0.533,0.415,0.338,0.687,0.291,0.22,0.177,0.158,117,2
Virginia 2012,0.507,0.447,0.271,0.722,0.256,0.198,0.168,0.186,493,0
Notre Dame 2013,0.522,0.468,0.34,0.673,0.227,0.17,0.152,0.138,270,0
Wofford 2010,0.495,0.463,0.336,0.709,0.296,0.237,0.157,0.188,535,0
University of California 2012,0.517,0.464,0.321,0.705,0.254,0.183,0.16,0.172,455,0
South Dakota St 2012,0.54,0.5,0.312,0.686,0.29,0.2,0.138,0.172,487,0
Wisconsin 2013,0.486,0.43,0.324,0.711,0.188,0.177,0.131,0.157,287,0
Colorado 2014,0.483,0.494,0.34,0.739,0.346,0.213,0.17,0.158,416,0
Butler 2016,0.526,0.497,0.321,0.727,0.287,0.254,0.127,0.166,209,1
Maryland 2016,0.555,0.463,0.286,0.709,0.295,0.192,0.168,0.145,221,2
Temple 2016,0.47,0.465,0.291,0.705,0.182,0.213,0.119,0.139,401,0
UNC Asheville 2011,0.495,0.474,0.332,0.649,0.295,0.264,0.18,0.208,62,1
Robert Morris 2010,0.489,0.469,0.346,0.675,0.306,0.344,0.188,0.201,524,0
Princeton 2011,0.522,0.467,0.315,0.732,0.263,0.251,0.165,0.164,356,0
Florida St 2010,0.505,0.435,0.381,0.676,0.249,0.234,0.207,0.203,503,0
Utah 2015,0.557,0.43,0.316,0.721,0.303,0.23,0.163,0.162,201,2
Nevada-Las Vegas 2011,0.509,0.46,0.331,0.683,0.27,0.276,0.161,0.207,349,0
Norfolk St 2012,0.49,0.463,0.342,0.64,0.275,0.255,0.187,0.174,89,1
New Mexico 2012,0.531,0.44,0.347,0.701,0.279,0.211,0.173,0.187,88,1
Creighton 2013,0.582,0.459,0.288,0.708,0.26,0.178,0.17,0.14,107,1
Louisville 2014,0.535,0.439,0.371,0.673,0.272,0.261,0.129,0.216,151,2
Akron 2011,0.499,0.464,0.283,0.673,0.22,0.253,0.155,0.18,328,0
North Carolina 2013,0.499,0.48,0.344,0.65,0.19,0.188,0.142,0.187,128,1
Georgia Tech 2010,0.511,0.441,0.374,0.667,0.248,0.23,0.193,0.182,7,1
Texas-El Paso 2010,0.528,0.446,0.289,0.698,0.267,0.289,0.165,0.195,530,0
Boise St 2015,0.537,0.472,0.284,0.746,0.236,0.222,0.143,0.177,292,0
Syracuse 2010,0.576,0.459,0.371,0.657,0.249,0.163,0.185,0.186,24,2
Albany NY 2014,0.488,0.483,0.319,0.717,0.315,0.21,0.172,0.16,138,1
Pittsburgh 2010,0.497,0.446,0.37,0.688,0.297,0.224,0.164,0.145,21,1
Creighton 2012,0.578,0.496,0.308,0.717,0.276,0.198,0.157,0.135,72,1
Dayton 2016,0.516,0.469,0.287,0.758,0.272,0.219,0.165,0.161,379,0
Georgetown 2011,0.541,0.468,0.337,0.677,0.245,0.268,0.181,0.15,338,0
Baylor 2010,0.549,0.44,0.385,0.672,0.26,0.225,0.172,0.151,1,3
Pittsburgh 2016,0.511,0.493,0.369,0.73,0.269,0.218,0.147,0.152,392,0
Villanova 2011,0.495,0.463,0.358,0.698,0.32,0.258,0.154,0.157,366,0
Tennessee 2010,0.506,0.452,0.335,0.677,0.239,0.283,0.163,0.2,25,3
Maryland 2010,0.518,0.448,0.356,0.634,0.245,0.203,0.14,0.177,12,1
Belmont 2012,0.558,0.481,0.345,0.651,0.282,0.23,0.154,0.181,453,0
Cincinnati 2012,0.48,0.462,0.357,0.624,0.189,0.18,0.14,0.184,70,2
Delaware 2014,0.504,0.494,0.291,0.672,0.312,0.263,0.117,0.145,417,0
St Mary's CA 2010,0.557,0.459,0.344,0.691,0.254,0.199,0.15,0.139,23,2
Cal Poly 2014,0.466,0.488,0.318,0.678,0.224,0.295,0.125,0.16,413,0
Wisconsin 2012,0.501,0.425,0.306,0.697,0.227,0.203,0.131,0.159,101,2
Maryland 2015,0.512,0.455,0.289,0.695,0.336,0.186,0.169,0.147,187,1
Michigan St 2016,0.563,0.433,0.364,0.76,0.218,0.243,0.147,0.125,387,0
Tulsa 2014,0.492,0.464,0.302,0.704,0.318,0.327,0.147,0.177,445,0
Lafayette 2015,0.557,0.533,0.284,0.66,0.234,0.189,0.152,0.144,304,0
Notre Dame 2015,0.583,0.479,0.279,0.678,0.272,0.172,0.13,0.148,193,3
Hampton 2016,0.464,0.483,0.346,0.73,0.273,0.26,0.159,0.149,384,0
Kansas St 2011,0.499,0.471,0.409,0.693,0.28,0.319,0.178,0.197,46,1
Manhattan 2015,0.494,0.481,0.309,0.669,0.328,0.365,0.185,0.208,306,0
San Diego St 2013,0.491,0.446,0.323,0.693,0.248,0.191,0.156,0.166,131,1
North Texas 2010,0.508,0.476,0.333,0.7,0.379,0.226,0.184,0.159,518,0
Notre Dame 2010,0.537,0.493,0.347,0.695,0.275,0.206,0.137,0.138,519,0
Xavier 2015,0.534,0.5,0.313,0.727,0.281,0.226,0.16,0.166,207,2
Kansas St 2013,0.495,0.466,0.387,0.643,0.216,0.248,0.15,0.192,257,0
Villanova 2014,0.536,0.463,0.326,0.713,0.318,0.273,0.151,0.175,169,1
Purdue 2011,0.507,0.46,0.324,0.703,0.246,0.212,0.136,0.185,55,1
Western Michigan 2014,0.52,0.47,0.316,0.68,0.368,0.246,0.184,0.161,448,0
North Carolina 2015,0.516,0.454,0.4,0.688,0.247,0.265,0.153,0.152,191,2
Wake Forest 2010,0.47,0.438,0.388,0.663,0.268,0.265,0.176,0.162,28,1
Kentucky 2016,0.535,0.445,0.368,0.686,0.261,0.286,0.134,0.151,220,1
Cincinnati 2014,0.477,0.448,0.391,0.677,0.274,0.243,0.145,0.194,414,0
Louisville 2011,0.526,0.445,0.348,0.648,0.198,0.277,0.162,0.199,344,0
Lamar 2012,0.469,0.466,0.378,0.673,0.295,0.223,0.145,0.178,466,0
Manhattan 2014,0.507,0.454,0.344,0.667,0.368,0.37,0.17,0.188,425,0
North Carolina Central 2014,0.513,0.435,0.366,0.675,0.347,0.302,0.149,0.206,433,0
Nevada-Las Vegas 2012,0.527,0.465,0.328,0.681,0.241,0.229,0.163,0.191,477,0
Wichita St 2012,0.543,0.443,0.335,0.713,0.26,0.224,0.156,0.166,496,0
Wichita St 2015,0.507,0.456,0.349,0.732,0.259,0.255,0.127,0.188,205,2
Iona 2012,0.565,0.511,0.321,0.645,0.216,0.2,0.152,0.193,463,0
Michigan 2011,0.523,0.489,0.255,0.711,0.186,0.202,0.143,0.163,49,1
Florida St 2012,0.512,0.437,0.35,0.642,0.246,0.245,0.199,0.19,74,1
Texas A&M 2010,0.497,0.466,0.333,0.705,0.32,0.25,0.157,0.181,26,1
Oklahoma St 2010,0.524,0.481,0.291,0.721,0.261,0.259,0.162,0.171,522,0
Vermont 2010,0.482,0.45,0.363,0.664,0.339,0.239,0.175,0.173,533,0
St. John's (NY) 2015,0.494,0.466,0.284,0.651,0.251,0.218,0.138,0.163,319,0
South Florida 2012,0.485,0.434,0.342,0.665,0.239,0.223,0.193,0.157,94,2
Mississippi 2015,0.478,0.476,0.348,0.686,0.279,0.282,0.14,0.162,189,1
Texas A&M 2011,0.494,0.465,0.382,0.709,0.324,0.25,0.171,0.183,362,0
Vanderbilt 2016,0.529,0.431,0.272,0.708,0.276,0.233,0.149,0.121,405,0
Ark Pine Bluff 2010,0.447,0.455,0.356,0.729,0.323,0.361,0.209,0.182,0,1
Long Island University 2011,0.519,0.483,0.374,0.677,0.321,0.173,0.171,0.171,343,0
St. John's (NY) 2011,0.495,0.508,0.325,0.669,0.314,0.282,0.162,0.209,360,0
Stanford 2014,0.513,0.48,0.293,0.719,0.316,0.265,0.149,0.15,164,2
St. Bonaventure 2012,0.508,0.471,0.355,0.677,0.32,0.266,0.18,0.166,489,0
Georgetown 2013,0.511,0.43,0.304,0.659,0.25,0.235,0.177,0.192,254,0
