School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV,Team_Id,wins
Wisconsin 2015,1014,2115,288,584,765,383,1338,296,1458,5
Xavier 2015,956,2011,234,566,775,364,1282,447,1462,2
Ark Little Rock 2016,886,1958,266,449,616,315,1195,355,1114,1
Butler 2016,918,1969,236,566,774,366,1188,335,1139,1
Connecticut 2016,944,2078,255,488,615,335,1300,385,1163,1
Duke 2016,983,2136,328,626,866,426,1296,354,1181,2
FL Gulf Coast 2016,1008,2106,186,501,778,417,1422,438,1195,1
Gonzaga 2016,1011,2081,281,537,708,382,1426,418,1211,2
Hawaii 2016,893,1946,237,597,873,360,1270,443,1218,1
Holy Cross 2016,775,1879,251,466,678,279,1052,386,1221,1
Indiana 2016,1021,2034,345,504,688,414,1288,474,1231,2
Iowa 2016,906,2027,269,480,669,392,1257,339,1234,1
Iowa St 2016,1087,2159,293,395,563,304,1244,398,1235,2
Kansas 2016,1092,2207,304,601,843,402,1443,478,1242,3
Kentucky 2016,1028,2149,244,561,813,451,1395,389,1246,1
Maryland 2016,943,1941,267,572,745,319,1288,458,1268,2
Miami FL 2016,907,1895,241,578,772,330,1207,383,1274,2
Michigan 2016,947,2048,342,420,569,290,1152,348,1276,1
MTSU 2016,909,2025,279,442,718,369,1283,419,1292,1
North Carolina 2016,1235,2560,224,617,826,568,1624,431,1314,5
Northern Iowa 2016,849,1864,298,479,633,195,1091,357,1320,1
Notre Dame 2016,972,2042,262,498,671,381,1265,359,1323,3
Oklahoma 2016,1018,2225,382,530,734,407,1418,484,1328,4
Oregon 2016,1041,2230,260,648,906,442,1382,431,1332,3
Providence 2016,881,2093,249,566,781,402,1263,397,1344,1
SF Austin 2016,972,2032,269,515,701,405,1188,411,1372,1
St Joseph's PA 2016,976,2153,251,577,806,359,1378,355,1386,1
Syracuse 2016,884,2080,315,506,736,445,1319,440,1393,4
Texas A&M 2016,991,2208,281,565,841,460,1461,434,1401,2
Utah 2016,977,2000,273,551,764,347,1335,451,1428,1
VA Commonwealth 2016,1010,2238,262,499,721,435,1347,405,1433,1
Villanova 2016,1086,2247,347,599,766,351,1385,440,1437,6
Virginia 2016,964,1964,224,474,630,323,1189,345,1438,3
Wichita St 2016,867,2023,250,551,768,407,1305,346,1455,2
Wisconsin 2016,816,1917,229,512,728,398,1228,386,1458,2
Xavier 2016,928,2054,255,626,857,436,1387,429,1462,1
Yale 2016,795,1693,190,468,699,407,1208,398,1463,1
